Query 1: Top Categories by Average Installs,,,,,,,,,
Category,Total_Apps,Avg_Installs,,,,,,,
Video Players & Editors,13679,2229446,,,,,,,
Racing,10086,1660926,,,,,,,
Communication,45809,1566077,,,,,,,
Action,26358,1150683,,,,,,,
Strategy,7984,950508,,,,,,,
Role Playing,9109,914813,,,,,,,
Photography,35083,882040,,,,,,,
Simulation,22373,876496,,,,,,,
Music,4085,789808,,,,,,,
Tools,137400,786726,,,,,,,
Explanation,"This query identifies the application categories with the highest average number of installs. By grouping applications by category and computing the average installs, the analysis highlights the categories where applications tend to attract more installs on the Google Play Store.",,,,,,,,
,,,,,,,,,
Query 2: Rating vs Success,,,,,,,,,
Rating_Level,Total_Apps,Avg_Installs,,,,,,,
5,409762,327496,,,,,,,
4,600161,884274,,,,,,,
3,148705,159764,,,,,,,
2,32159,91318,,,,,,,
1,2888,80244,,,,,,,
0,1033162,982,,,,,,,
Explanation,"This query examines the relationship between application ratings and success. Applications are grouped by rating level, and the average installs are calculated for each group. This helps determine whether higher-rated applications tend to attract more installs.",,,,,,,,
,,,,,,,,,
Query 3: High Rating Categories with HAVING,,,,,,,,,
Category,App_Count,Avg_Rating,,,,,,,
Role Playing,9109,3.37,,,,,,,
Casino,4907,3.28,,,,,,,
Simulation,22373,3.21,,,,,,,
Weather,6947,3.12,,,,,,,
Card,7876,3.08,,,,,,,
Racing,10086,2.95,,,,,,,
Video Players & Editors,13679,2.91,,,,,,,
Word,8336,2.89,,,,,,,
Strategy,7984,2.86,,,,,,,
Comics,2761,2.85,,,,,,,
Explanation,"This query identifies categories that maintain relatively high average ratings while ensuring that only categories with a sufficient number of applications are considered. The HAVING clause filters categories with at least 100 applications, making the comparison more reliable.",,,,,,,,
,,,,,,,,,
Query 4: Free vs Paid Apps Success,,,,,,,,,
App_Type,Total_Apps,Avg_Installs,,,,,,,
Free,2182904,317064.71,,,,,,,
Paid,43933,16423.73,,,,,,,
Explanation,This query compares the success of free and paid applications by calculating the average number of installs for each group. The results help determine whether pricing influences application adoption and whether free applications tend to achieve higher install counts.,,,,,,,,
,,,,,,,,,
Query 5: App Age vs Success,,,,,,,,,
App_Age_Group,Total_Apps,Avg_Installs,,,,,,,
More than 5 years,2138901,323322,,,,,,,
3 to 5 years,87936,14670,,,,,,,
Explanation,This query analyzes how application age affects success by dividing applications into age groups and calculating the average installs for each group. This provides a clearer view of whether older applications tend to achieve higher install counts than newer ones.,,,,,,,,
,,,,,,,,,
Query 6: Top Content Rating by Success within Each Category,,,,,,,,,
Category,Content_Rating,Total_Apps,Avg_Installs,,,,,,
Video Players & Editors,Teen,964,20044655,,,,,,
Racing,Everyone 10+,394,3740042,,,,,,
Action,Mature 17+,1463,3371550,,,,,,
Auto & Vehicles,Teen,687,2918489,,,,,,
Strategy,Everyone 10+,1461,2654416,,,,,,
Lifestyle,Adults only 18+,1,2055442,,,,,,
Word,Everyone 10+,90,1999392,,,,,,
Simulation,Mature 17+,538,1904942,,,,,,
Communication,Everyone,37021,1817846,,,,,,
Board,Everyone 10+,136,1765474,,,,,,
Arcade,Everyone 10+,2531,1703856,,,,,,
News & Magazines,Teen,2220,1699111,,,,,,
Photography,Everyone 10+,74,1608858,,,,,,
Puzzle,Everyone 10+,693,1586880,,,,,,
Casual,Everyone 10+,1482,1583280,,,,,,
Explanation,"This query determines, within each application category, which content rating achieves the highest average number of installs. A window function is used to rank content ratings inside each category and keep only the top-performing one.",,,,,,,,
,,,,,,,,,
Query 7: Statistical Summary,,,,,,,,,
Total_Apps,Distinct_Categories,Avg_Price,Price_Variance,Avg_Installs,Installs_Variance,Median_Price,Installs_P25,Median_Installs,Installs_P75
2226837,48,0.1,6.88,311133.4,4.91E+14,0,86,712,7477
Explanation,"This query provides an overall statistical summary of application price and installs. It reports averages, variance, median values, and install percentiles to describe the distribution and spread of application pricing and success in the dataset.",,,,,,,,
